name,ingredient,instructions
Salty Dog,"Lemon wedges 1.0 units
Coarse salt 1.0 oz
Vodka 1.5 oz
Grapefruit juice 5.0 oz",Rim highball glass with lemon and salt. Fill with ice. Add vodka and grapefruit juice and stir.
Sampan Shipwreck A,"Vodka 1.5 oz
Orange liqueur 0.5 oz
Canned coconut milk 0.5 oz
Cold brewed chai tea 0.5 oz
Pineapple wedge 1.0 units
Orgeat 0.5 oz",Shake well with ice. Double-strain into chilled cocktail glass. Perch pineapple on rim of glass.
Sampan Shipwreck A with Almond syrup,"Almond syrup 0.5 oz
Vodka 1.5 oz
Orange liqueur 0.5 oz
Canned coconut milk 0.5 oz
Cold brewed chai tea 0.5 oz
Pineapple wedge 1.0 units",Shake well with ice. Double-strain into chilled cocktail glass. Perch pineapple on rim of glass.
San Francisco,"Sloe gin 0.75 oz
Sweet vermouth 0.75 oz
Dry vermouth 0.75 oz
Bitters 1.0 oz
Orange bitters 1.0 oz",Shake with ice and strain into cocktail glass. Serve with a cherry.
Sand-Martin Cocktail,"Green chartreuse 1.0 oz
Sweet vermouth 1.5 oz
Gin 1.5 oz",Stir with ice and strain into cocktail glass.
Sand-Martini Cocktail,"Green chartreuse 1.0 oz
Sweet vermouth 1.5 oz
Gin 1.5 oz
Sake 1.0 oz",Stir with ice and strain into cocktail glass.
Santana Sling,"Reposado tequila 1.5 oz
Cherry heering 0.5 oz
Lime juice 0.5 oz
Ginger beer 3.0 oz
Batavia arrack 0.25 oz",Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.
Santana Sling with Light rum,"Light rum 0.25 oz
Reposado tequila 1.5 oz
Cherry heering 0.5 oz
Lime juice 0.5 oz
Ginger beer 3.0 oz",Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.
Santiago Cocktail,"Light rum 1.5 oz
Lime juice 1.0 oz
Simple syrup 0.5 oz
Grenadine 0.5 oz",Shake with ice and strain into chilled cocktail glass.
Saratoga Cocktail,"Brandy 2.0 oz
Bitters 2.0 oz
Lemon juice 1.0 oz
Pineapple juice 1.0 oz
Maraschino 0.5 oz",Shake with ice and strain into cocktail glass.
Sargasso,"Aged rhum agricole 2.0 oz
Dry sherry 0.75 oz
Aperol 0.5 oz
Angostura bitters 2.0 oz
Orange wheel 1.0 units",Stir with ice and strain into chilled cocktail glass. Garnish with orange twist.
Saronno,"Amaretto di saronno 1.0 oz
Mr. boston five star brandy 1.0 oz
Light cream 1.0 oz",Shake well with cracked ice. Strain and serve in cocktail glass.
Saronno Colada (Nutty Colada),"Amaretto di saronno 3.0 oz
Coconut milk 3.0 oz
Crushed pineapple 3.0 oz",Put in an electric blender with 2 cups of crushed ice and blend at high speed for a short time. Pour into a collins glass and serve with a straw.
Saronno Mist,Amaretto di saronno 1.5 oz,"Serve in an old-fashioned glass over crushed ice with a twist of lemon or a wedge of lime, if desired."
Saronno Rose,"Amaretto di saronno 1.5 oz
Roses lime juice 0.5 oz
Club soda 1.0 units",Pour Amaretto di Saronno and lime juice over ice in a collins glass and fill with club soda.
Satin Sheets,"Blanco tequila 1.5 oz
Falernum 0.5 oz
Simple syrup 0.5 oz
Lime juice 0.75 oz
Lime wheels 1.0 units",Shake with ice and strain into chilled cocktail glass. Garnish with lime.
Savannah,"Juice of orange 0.5 oz
Gin 1.0 oz
White creme de cacao 1.0 oz
Egg white 1.0 units",Shake with ice and strain into cocktail glass.
Saxon Cocktail,"Light rum 1.75 oz
Lime juice 0.5 oz
Grenadine 0.5 oz",Shake with ice and strain into chilled cocktail glass. Add orange twist.
Scotch Bird Flyer,"Scotch 1.5 oz
Egg yolk 1.0 units
Triple sec 0.5 oz
Powdered sugar 0.5 oz
Light cream 1.0 oz",Shake with ice and strain into champagne flute.
Scotch Cocktail,"Old mr. boston white creme de menthe 0.5 oz
Desmond & duff scotch whisky 1.5 oz",Shake with ice and strain into cocktail glass.
Scotch Whisky Highball,"Desmond & duff scotch whisky 2.0 oz
Ginger ale 3.0 oz
Lemon twist 1.0 units","Put whisky in highball glass with ice cubes and fill with ginger ale or carbonated water. Add twist of lemon peel, if desired, and stir."
Screwdriver,"Vodka 1.5 oz
Orange juice 5.0 oz",Pour into ice-filled highball glass. Stir well.
Sea Breeze,"Vodka 1.5 oz
Cranberry juice 4.0 oz
Fresh grapefruit juice 1.0 oz
Lime wedges 1.0 units",Pour into ice-filled highball glass. Garnish with lime.
Sea Of Cortez,"Blanco tequila 1.5 oz
Lime juice 1.0 oz
Creme de cassis 0.75 oz
Orange curacao 0.25 oz",Shake with ice and strain into chilled cocktail glass.
Seaboabd,"Old mr. boston blended whiskey 1.0 oz
Old mr. boston dry gin 1.0 oz
Lemon juice 1.0 oz
Powdered sugar 1.0 oz",Shake with ice and strain into old-fashioned glass over ice cubes. Decorate with mint leaves.
September Morn Cocktail,"Egg white 1.0 units
Light rum 1.0 oz
Lime juice 0.5 oz
Grenadine 1.0 oz",Shake with ice and strain into cocktail glass.
Sevilla Cocktail,"Powdered sugar 0.5 oz
Egg 1.0 units
Port 1.0 oz
Light rum 1.0 oz",Shake with ice and strain into sour glass.
Shady Lady,"Blanco tequila 1.0 oz
Melon liqueur 1.0 oz
Fresh grapefruit juice 4.0 oz
Fresh grapefruit juice 4.0 oz
Lime wedges 1.0 units
Honeydew melon wedge 1.0 units",Combine all ingredients in ice-filled highball glass and stir. Garnish with lime and melon or cherry.
Shady Lady with Maraschino cherry,"Maraschino cherry 1.0 units
Blanco tequila 1.0 oz
Melon liqueur 1.0 oz
Fresh grapefruit juice 4.0 oz
Fresh grapefruit juice 4.0 oz
Lime wedges 1.0 units",Combine all ingredients in ice-filled highball glass and stir. Garnish with lime and melon or cherry.
Shalom,"Vodka 1.5 oz
Madeira 1.0 oz
Orange juice 0.5 oz
Orange wheel 0.5 units
Bourbon whiskey 2.0 oz
White creme de cacao 0.75 oz
Lemon juice 0.5 oz",Shake with ice and strain into ice-filled old-fashioned glass. Add orange wheel.
Shamrock Cocktail,"Irish whiskey 1.5 oz
Dry vermouth 0.5 oz
Old mr. boston green creme de menthe 1.0 oz",Stir with ice and strain into cocktail glass. Serve with an olive.
Sherry Flip,"Egg 1.0 units
Powdered sugar 1.0 oz
Cream sherry 1.5 oz
Light cream (if desired) 2.0 oz",Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.
Sherry Milk Punch,"Powdered sugar 1.0 oz
Cream sherry 2.0 oz","Shake with ice, strain into collins glass, and sprinkle nutmeg on top."
Sherry Sangaree,"Powdered sugar 0.5 oz
Cream sherry 2.0 oz
Carbonated water 1.0 oz
Port 1.0 oz","In an old-fashioned glass, dissolve powdered sugar in water, add sherry, and stir. Add ice cubes and a splash of carbonated water, leaving enough room on which to float port. Add port. Sprinkle lightly with nutmeg."
Sherry Twist Cocktail,"Cream sherry 1.0 oz
Brandy 0.5 oz
Dry vermouth 0.5 oz
Triple sec 0.5 oz
Lemon juice 0.5 oz",Shake with ice and strain into cocktail glass. Top with pinch of cinnamon and a twist of orange peel.
Sherry-and-Egg Cocktail,"Egg 1.0 units
Cream sherry 2.0 oz","Place an egg in a cocktail glass, being careful not to break the yolk. Add 2 oz. cream sherry."
Siberian Sleighride,"Vodka 1.25 oz
White creme de cacao 0.75 oz
White creme de menthe 0.5 oz
Half-and-half 3.0 oz",Shake with ice and strain into chilled snifter. Sprinkle with chocolate shavings.
Sidecar,"Cognac 1.0 oz
Triple sec 1.0 oz
Lemon juice 0.5 oz
Vodka 1.5 oz
Madeira 1.0 oz
Orange juice 0.5 oz
Orange wheel 0.5 units",Shake with ice and strain into a chilled cocktail glass.
Sidewinder,"Reposado tequila 1.5 oz
Campari 0.5 oz
Vanilla syrup 0.5 oz
Preferably b.a. reynold's 0.5 oz
Lime juice 0.5 oz
Mezcal 0.25 oz
Ginger beer 1.0 oz",Fill Collins glass 1/2 full with crushed ice. Add all ingredients. Swizzle with barspoon until glass is frosted. Fill to brim with additional ice. Garnish with mint.
Silk Stockings,"Blanco tequila 1.5 oz
White creme de cacao 1.0 oz
Heavy cream 1.5 oz
Grenadine 1.0 oz
Ground cinnamon 1.0 units",Shake ingredients with ice and strain into chilled cocktail glass. Top with cinnamon.
Silver Fizz,"Lemon juice 0.5 oz
Powdered sugar 1.0 oz
Gin 2.0 oz
Egg white 1.0 units",Shake with ice and strain into highball glass over two ice cubes.
Silver King Cocktail,"Egg white 1.0 units
Lemon juice 0.25 oz
Gin 1.5 oz
Powdered sugar 0.5 oz
Orange bitters 2.0 oz",Shake with ice and strain into cocktail glass.
Silver Stallion Fizz,"Vanilla ice cream 1.0 oz
Gin 2.0 oz
Carbonated water 2.0 oz",Shake gin and ice cream with ice and strain into highball glass. Fill with carbonated water and stir.
Singapore Sling,"Lemon juice 0.5 oz
Powdered sugar 1.0 oz
Gin 2.0 oz
Club soda 1.0 units
Cherry-flavored brandy 0.5 oz","Shake lemon, sugar, and gin with ice and strain into collins glass. Add ice cubes and fill with club soda. Float cherry-flavored brandy on top. Decorate with fruits in season and serve with straws."
Sir Walter Cocktail,"Light rum 0.75 oz
Brandy 0.75 oz
Grenadine 1.0 oz
Triple sec 1.0 oz
Lemon juice 1.0 oz",Shake with ice and strain into chilled cocktail glass.
Sloe Gin Flip,"Egg 1.0 units
Powdered sugar 1.0 oz
Sloe gin 1.0 oz
Light cream (if desired) 2.0 oz",Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.
Sloe Tequila,"Blanco tequila 1.0 oz
Sloe gin 0.5 oz
Lime juice 0.5 oz",Combine ingredients with 1/2 cup crushed ice in blender on low speed. Pour into old-fashioned glass. Add cucumber twist.
Sloppy Joe's Cocktail No. 1,"Light rum 0.75 oz
Dry vermouth 0.75 oz
Triple sec 0.5 oz
Lime juice 1.0 oz
Grenadine 0.5 oz",Shake with ice and strain into chilled cocktail glass.
Smile Cocktail,"Grenadine 1.0 oz
Gin 1.0 oz
Lemon juice 0.5 oz",Shake with ice and strain into cocktail glass.
Smiler Cocktail,"Sweet vermouth 0.5 oz
Dry vermouth 0.5 oz
Gin 1.0 oz
Bitters 1.0 oz
Orange juice 0.25 oz",Shake with ice and strain into cocktail glass.
Smoked Margarita,"Smoky scotch whisky 0.5 oz
Reposado tequila 1.0 oz
Triple sec 1.0 oz
Lemon juice 0.5 oz
Lime juice 0.5 oz
Lime wedges 1.0 units
Such as islay 0.5 oz",Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Add lime wedge.
Smoked Margarita with Skye,"Skye 0.5 oz
Smoky scotch whisky 0.5 oz
Reposado tequila 1.0 oz
Triple sec 1.0 oz
Lemon juice 0.5 oz
Lime juice 0.5 oz
Lime wedges 1.0 units",Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Add lime wedge.
Snowball Cocktail,"Old mr. boston dry gin 1.5 oz
Old mr. boston anisette 0.5 oz
Sweet cream 1.0 oz",Shake with ice and strain into cocktail glass.
Snyder,"Gin 1.5 oz
Dry vermouth 0.5 oz
Triple sec 0.5 oz",Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
Society Cocktail,"Gin 1.5 oz
Dry vermouth 0.75 oz
Grenadine 0.25 oz",Stir with ice and strain into cocktail glass.
Sonic Blaster,"Vodka 0.5 oz
Light rum 0.5 oz
Creme de banana 0.5 oz
Pineapple juice 1.0 oz
Orange juice 1.0 oz
Cranberry juice 1.0 oz",Shake and pour into ice-filled Collins glass. Garnish with orange and lime.
Soul Kiss Cocktail,"Orange juice 1.5 oz
Dubonnet 1.5 oz
Dry vermouth 0.75 oz
Bourbon 0.75 oz",Shake with ice and strain into cocktail glass.
South Of The Border,"Blanco tequila 1.0 oz
Coffee-flavored brandy 0.75 oz
Lime juice 0.5 oz",Shake with ice and strain into chilled sour glass. Garnish with lime.
Southern Gin Cocktail,"Gin 2.0 oz
Orange bitters 2.0 oz
Triple sec 0.5 oz",Stir with ice and strain into cocktail glass. Add a twist of lemon peel.
Soviet,"Vodka 1.5 oz
Amontillado sherry 0.5 oz
Dry vermouth 0.5 oz
Lemon twist 1.0 units",Shake with ice and strain into ice-filled old-fashioned glass. Add lemon twist.
Spanish Town Cocktail,"Light rum 2.0 oz
Triple sec 0.5 oz",Stir with ice and strain into chilled cocktail glass.
Special Rough Cocktail,"Apple brandy 1.5 oz
Brandy 1.5 oz
Anisette 0.5 oz",Stir with ice and strain into cocktail glass.
Sphinx Cocktail,"Gin 1.5 oz
Sweet vermouth 1.5 oz
Dry vermouth 1.5 oz",Stir with ice and strain into cocktail glass. Serve with a slice of lemon.
Spice Of Life,"Cucumber 5.0 oz
Mint leaves 12.0 units
Simple syrup 0.75 oz
Jalapeno-infused tequila 2.0 oz
Lime juice 0.75 oz
Mint sprigs 1.0 units","Muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. Add tequila and lime juice with ice and shake. Double-strain into ice-filled old-fashioned glass. Garnish with cucumber slice and mint sprig."
Spring Feeling Cocktail,"Lemon juice 1.0 oz
Green chartreuse 0.5 oz
Gin 1.0 oz",Shake with ice and strain into cocktail glass.
Spritzer Highball,"Carbonated water 3.0 oz
Chilled rhine wine 3.0 oz",Pour into highball glass with ice cubes. Fill balance with carbonated water and stir gently.
Spritzer Highball with Sauterne,"Sauterne 3.0 oz
Carbonated water 3.0 oz",Pour into highball glass with ice cubes. Fill balance with carbonated water and stir gently.
Sputnik,"Vodka 1.25 oz
Peach schnapps 1.25 oz
Orange juice 3.0 oz
Half-and-half 3.0 oz",Shake with ice until frothy and pour into red-wine glass. Garnish with peach.
St. Patrick's Day Cocktail,"Old mr. boston green creme de menthe 0.75 oz
Green chartreuse 0.75 oz
Irish whiskey 0.75 oz
Bitters 1.0 oz",Stir with ice and strain into cocktail glass.
Stinger Cocktail,"Old mr. boston white creme de menthe 0.5 oz
Old mr. boston five star brandy 1.5 oz",Shake with ice and strain into cocktail glass.
Stockholm 75,"Lemon wedges 1.0 units
Superfine sugar 1.0 oz
Citrus-flavored vodka 0.75 oz
Simple syrup 0.75 oz
Lemon juice 0.75 oz
Chilled champagne 3.0 oz","Rim chilled cocktail glass with lemon and sugar. Shake vodka, syrup, and lemon juice with ice. Strain into glass. Fill with Champagne"
Stone Cocktail,"Dry sherry 1.0 oz
Light rum 0.5 oz
Sweet vermouth 0.5 oz",Stir with ice and strain into chilled cocktail glass.
Stone Wall,"Slices ginger 3.0 units
Demerara syrup 0.75 oz
Apple cider 1.5 oz
Light rum 1.5 oz
Jamaican ginger beer 3.0 oz
Green apple slice 1.0 units
Lime wedges 1.0 units",Muddle ginger and syrup in mixing glass. Add cider and rum and shake with ice. Strain into ice-filled old-fashioned glass and fill with ginger beer. Add apple and lime.
Stormy Colada,"Dark rum 2.0 oz
Pineapple juice 2.0 oz
Ginger beer 3.0 oz",Add rum and pineapple juice to ice-filled highball glass. Fill with ginger beer and stir. Add skewered garnish.
Strawberry Margarita,"Lime wedges 1.0 units
Strawberries 3.0 units
Strawberry schnapps 0.75 oz
Blanco tequila 1.5 oz
Triple sec 0.75 oz
Lime juice 0.75 oz
Strawberries 0.75 units
Superfine sugar 1.0 oz","If desired, rim chilled cocktail glass with lime and sugar or salt. Muddle strawberries with schnapps in mixing glass. Add remaining ingredients and shake with ice. Strain through fine wire sieve into glass. Add strawberry."
Strawberry Margarita with Coarse salt,"Coarse salt 1.0 oz
Lime wedges 1.0 units
Strawberries 3.0 units
Strawberry schnapps 0.75 oz
Blanco tequila 1.5 oz
Triple sec 0.75 oz
Lime juice 0.75 oz
Strawberries 0.75 units","If desired, rim chilled cocktail glass with lime and sugar or salt. Muddle strawberries with schnapps in mixing glass. Add remaining ingredients and shake with ice. Strain through fine wire sieve into glass. Add strawberry."
Strawberry Sunries,"Strawberry schnapps 2.0 oz
Grenadine 0.5 oz",Pour over ice in a highball glass. Fill with orange juice. Garnish with a fresh strawberry.
Stupid Cupid,"Citrus-flavored vodka 2.0 oz
Sloe gin 0.5 oz
Simple syrup 1.0 oz
Lemon juice 1.0 oz",Shake with ice and strain into chilled cocktail glass. Garnish with cherry.
Suissesse Cocktail,"Anisette 2.0 oz
Egg white 1.0 units",Shake with ice and strain into cocktail glass.
Sunburn,"Hot shot tropical fruit liqueur 2.0 oz
Grapefruit juice 2.0 oz",Pour over ice in a highball glass. Fill with club soda. Add a dash of grenadine for color.
Sunday Confession,"Blanco tequila 1.0 oz
Limoncello 1.0 oz
Lemon juice 0.5 oz
Lemon wedges 1.0 units",Pour the first three ingredients into Collins glass and stir briefly. Add ice and top with ginger beer. Add lemon.
Sunset at Gowanus,"Dark rum 2.0 oz
Lime juice 0.75 oz
Maple syrup 0.5 oz
Brandy 0.25 oz
Yellow chartreuse 0.25 oz",Shake with ice and strain into chilled cocktail glass.
Sunshine Cocktail,"Sweet vermouth 0.75 oz
Gin 1.5 oz
Bitters 1.0 oz",Stir with ice and strain into cocktail glass. Add a twist of orange peel.
Suntan,"Hot shot tropical fruit liqueur 2.0 oz
Orange juice 2.0 oz",Pour over ice in a highball glass. Fill with club soda.
Surf Rider,"Vodka 2.0 oz
Sweet vermouth 0.5 oz
Orange juice 2.0 oz
Lemon juice 0.5 oz
Grenadine 0.25 oz
Orange half-wheel 1.0 units
Maraschino cherry 1.0 units",Shake with ice and strain into ice-filled highball glass. Garnish with orange and cherry.
Susie Taylor,"Light rum 2.0 oz
Lime juice 0.5 oz
Ginger ale 3.0 oz",Pour rum and lime juice into ice-filled Collins glass. Fill with ginger ale and stir.
Sweet Maria,"Vodka 1.0 oz
Amaretto 0.5 oz
Half-and-half 0.5 oz",Shake with ice and strain into chilled cocktail glass.
Sweet Patootie Cocktail,"Gin 1.0 oz
Triple sec 0.5 oz
Orange juice 1.0 oz",Shake with ice and strain into cocktail glass.
T.N.T. Cocktail,"Old thompson blended whiskey 1.5 oz
Absinthe 1.5 oz",Shake with ice and strain into cocktail glass.
T.N.T. Cocktail No. 1,"Blended whiskey 1.5 oz
Anis 1.5 oz",Shake with ice and strain into cocktail glass.
T.N.T. Cocktail No. 2,"Tequila 1.0 oz
Tonic 1.0 units",Mix with ice in an old-fashioned glass.
T.N.T. No. 1,"Old thompson blended whiskey 1.5 oz
Absinthe 1.5 oz",Shake with ice and strain into cocktail glass.
Tabby Cat,"Dubonnet rouge 2.0 oz
Orange-flavored vodka 1.0 oz
Orange bitters 2.0 oz
Lemon twist 1.0 units",Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Tahiti Club,"Light rum 2.0 oz
Lemon juice 0.5 oz
Lime juice 0.5 oz
Pineapple juice 0.5 oz
Maraschino liqueur 0.25 oz
Lemon wheels 1.0 units",Shake with ice and strain into ice-filled old-fashioned glass. Add lemon.
Tahitian Tea,"Gin 0.5 oz
Light rum 0.5 oz
Vodka 0.5 oz
Hot shot tropical fruit liqueur 0.5 oz
7-up 1.0 oz
Each cranberry juice 1.0 oz
Orange juice 1.0 oz","In a highball glass, mix 1/2 oz. each of Gin, Light Rum, Vodka, and Hot Shot Tropical Fruit Liqueur. Add 1 oz. each of 7-Up, cranberry juice, and orange juice. Stir."
Tailspin Cocktail,"Gin 0.75 oz
Sweet vermouth 0.75 oz
Green chartreuse 0.75 oz
Orange bitters 1.0 oz",Stir with ice and strain into cocktail glass. Add a twist of lemon peel and a cherry or olive.
Tanq-A-Rita,"Tanqueray gin 1.5 oz
Margarita mix 3.0 oz
Triple sec 1.0 oz",Shake with ice and strain into cocktail glass.
Tchoupitolas Street Guzzle,"Light rum 1.0 oz
Ginger beer 3.0 oz",Pour rum into highball glass over ice cubes. Add ginger beer.
Tea Saronno,"Hot tea 6.0 oz
Amaretto di saronno 1.5 oz
Whipped cream 1.0 units","Pour hot tea into a stemmed glass, using a spoon in glass to prevent cracking. Add Amaretto di Saronno but do not stir. Top with chilled whipped cream."
Temptation Cocktail,"Blended whiskey 1.5 oz
Triple sec 0.5 oz
Anis 0.5 oz
Dubonnet 0.5 oz",Shake with ice and strain into cocktail glass. Add twists of lemon and orange peel.
Tempter Cocktail,"Port 1.0 oz
Apricot flavored brandy 1.0 oz",Stir with ice and strain into cocktail glass.
Tequila Canyon,"Blanco tequila 1.5 oz
Triple sec 0.25 oz
Cranberry juice 1.0 oz
Pineapple juice 1.0 oz
Orange juice 1.0 oz
Lime wheels 1.0 units",Pour into Collins glass and stir. Add ice. Garnish with lime. Serve with straw.
Tequila Cocktail,"Tequila 2.0 oz
Lemon juice 0.5 oz
Grenadine 4.0 oz
Egg white 1.0 units",Shake ingredients with crushed ice and strain into a cocktail glass. Garnish with a lemon slice.
Tequila Collins,"Blanco tequila 2.0 oz
Lemon juice 0.5 oz
Simple syrup 0.5 oz
Lemon wheels 1.0 units
Orange wheel 1.0 units
Maraschino cherry 1.0 units","Shake first three ingredients with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Garnish with lemon, orange, and cherry. Serve with straw."
Tequila Fizz,"Tequila 2.0 oz
Grenadine 0.75 oz
Lemon juice 1.0 oz
Egg white 1.0 units",Shake well with ice and strain into collins glass over ice cubes. Fill with ginger ale and stir.
Tequila Manhattan,"Blanco tequila 2.0 oz
Sweet vermouth 1.0 oz
Angostura bitters 1.0 oz",Shake with ice and strain into ice-filled old-fashioned glass. Add cherry.
Tequila Matador,"Blanco tequila 1.5 oz
Pineapple juice 2.0 oz
Lime juice 0.5 oz",Shake with ice and strain into chilled champagne flute.
Tequila Mockingbird,"Lime wedges 1.0 units
Coarse salt 1.0 oz
Minced ginger 0.25 oz
Blanco tequila 1.75 oz
Agave nectar 1.5 oz
Lime juice 1.0 oz
Lime wheels 1.0 units",Rim one half of a chilled cocktail glass with lime and salt. Muddle ginger in mixing glass. Add remaining ingredients with ice and shake. Strain into glass. Garnish with lime wheel.
Tequila Old-Fashioned,"Blanco tequila 1.5 oz
Simple syrup 1.0 oz
Angostura bitters 1.0 oz
Soda water 1.0 oz
Lemon twist 1.0 units","Pour tequila, syrup, and bitters in ice-filled old-fashioned glass and stir. Add soda. Add lemon twist."
Tequila Pink,"Blanco tequila 1.5 oz
Dry vermouth 1.0 oz
Grenadine 0.25 oz",Shake with ice and strain into chilled cocktail glass.
Tequila Smash,"Blueberries 4.0 oz
Bing cherries 4.0 oz
Blanco tequila 2.0 oz
Maraschino liqueur 0.5 oz
Lime juice 0.5 oz
Lime wheels 1.0 units
Bing cherry 1.0 units
Blueberry 1.0 units",Muddle blueberries and cherries in mixing glass. Add remaining ingredients and shake. Double-strain into ice-filled old-fashioned glass. Garnish with skewered fruit.
Tequila Sour,"Blanco tequila 2.0 oz
Lemon juice 0.75 oz
Simple syrup 0.75 oz",Shake with ice and strain into chilled sour glass. Garnish with lemon and cherry.
Tequila Straight,"Coarse salt 1.0 oz
Blanco tequila 1.5 oz
Lime wedges 1.0 units","Put salt between thumb and index finger on back of one hand. Hold shot glass of tequila in same hand and lime wedge in other hand. Taste the salt, drink the tequila, and then suck the lime."
Tequila Sunrise,"Blanco tequila 2.0 oz
Orange juice 4.0 oz
Grenadine 0.75 oz","Pour tequila and orange juice into ice-filled highball glass. Stir and add ice. Slowly pour in grenadine and allow to settle at glass bottom. Before drinking, stir to create the ""sunrise"""
Tequini,"Blanco tequila 1.5 oz
Dry vermouth 0.5 oz
Angostura bitters 1.0 oz",Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Tequini Cocktail,"Old mr. boston tequila 1.5 oz
Dry vermouth 0.5 oz
Bitters 1.0 oz",Stir with ice and strain into cocktail glass. Serve with twist of lemon peel and an olive.
Tequonic,"Blanco tequila 2.0 oz
Tonic water 1.0 units
Lemon 0.25 units","Pour tequila into ice-filled old-fashioned glass. Add juice, fill with tonic water, and stir. Garnish with citrus wedge."
Tequonic with Lime juice,"Lime juice 0.25 oz
Blanco tequila 2.0 oz
Tonic water 1.0 units","Pour tequila into ice-filled old-fashioned glass. Add juice, fill with tonic water, and stir. Garnish with citrus wedge."
Thanksgiving Special Cocktail,"Old mr. boston apricot flavored brandy 0.75 oz
Old mr. boston dry gin 0.75 oz
Dry vermouth 0.75 oz
Lemon juice 0.25 oz",Shake with ice and strain into cocktail glass. Serve with a cherry.
The 21st Century,"Absinthe 0.5 oz
Absinthe 1.0 oz
Blanco tequila 1.5 oz
Lime juice 0.75 oz
White creme de cacao 0.75 oz",Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Shake remaining ingredients with ice and strain into glass.
The Beautiful Day,"Irish whiskey 1.25 oz
Rhubarb syrup 0.75 oz
Cold brewed green tea 2.0 oz
Edible flowers 1.0 units",Shake with ice and strain into ice-filled old-fashioned glass. Garnish with edible flowers.
The Big Crush,"Raspberry-flavored vodka 1.0 oz
Triple sec 0.5 oz
Raspberry-flavored liqueur 0.5 oz
Lime juice 0.5 oz
Chilled champagne 2.0 oz
Fresh blackberries 1.0 units
Raspberries 1.0 units",Shake first four ingredients with ice. Strain into chilled cocktail glass and top with Champagne. Garnish with berries.
The Blinker,"Straight rye whisky 2.0 oz
Grapefruit juice 1.5 oz
Raspberry syrup 1.0 oz
Grapefruit twist 1.0 units",Shake and strain into cocktail glass. Garnish with grapefruit twist or raspberry.
The Blinker with Skewered raspberry,"Skewered raspberry 1.0 units
Straight rye whisky 2.0 oz
Grapefruit juice 1.5 oz
Raspberry syrup 1.0 oz",Shake and strain into cocktail glass. Garnish with grapefruit twist or raspberry.
The Blood Orange,"Orange-flavored vodka 2.0 oz
Campari 1.0 oz
Orange half-wheel 1.0 units",Stir with ice and strain into chilled cocktail glass. Garnish with orange.
The Bone,"Bourbon whiskey 2.0 oz
Lime juice 0.5 oz
Simple syrup 0.5 oz
Hot red pepper sauce 3.0 oz",Shake with ice and strain into chilled shot glass.
The Cinquecento,"Bison grass vodka (zubrowka) 1.5 oz
Benedictine 0.5 oz
Campari 0.5 oz
Fresh grapefruit juice 0.75 oz
Angostura bitters 1.0 oz
Grapefruit twist 1.0 units",Shake with ice. Strain through wire sieve into chilled cocktail glass. Add grapefruit twist.
The Crux,"Dubonnet 0.75 oz
Triple sec 0.75 oz
Brandy 0.75 oz
Lemon juice 0.75 oz
Orange wheel 1.0 units",Stir with ice and strain into chilled cocktail glass. Add orange twist.
The Debonair,"Single-malt scotch whisky 2.5 oz
Ginger liqueur 1.0 oz
Lemon twist 1.0 units",Stir and strain into chilled cocktail glass. Add lemon twist.
The Delmarva Cocktail,"Straight rye whiskey 2.0 oz
Dry vermouth 0.5 oz
White creme de menthe 0.5 oz
Lemon juice 0.5 oz",Shake with ice and strain into chilled cocktail glass. Garnish with mint.
The Duboudreau Cocktail,"Straight rye whiskey 2.0 oz
Dubonnet rouge 0.75 oz
Fernet-branca 0.25 oz
Elderflower liqueur 0.25 oz",Stir with ice and strain into chilled cocktail glass. Add lemon twist.
The Final Ward,"Straight rye whiskey 0.75 oz
Maraschino liqueur 0.75 oz
Green chartreuse 0.75 oz
Lemon juice 0.75 oz",Shake with ice and strain into chilled cocktail glass.
The Groupie,"Lemon wedges 3.0 units
Superfine sugar 0.5 oz
Citrus-flavored vodka 2.0 oz",Muddle lemons and sugar in mixing glass. Add vodka and ice and shake. Strain into ice-filled old-fashioned glass and top with ginger beer.
The Holy Roller,"Cachaca 1.5 oz
Lime juice 0.75 oz
Honey syrup 0.5 oz
Angostura bitters 2.0 oz
Mint sprigs 0.5 units
Champagne 0.5 oz",Shake first five ingredients with ice. Strain into chilled cocktail glass. Top with Champagne or sparkling wine. Garnish with mint.
The Holy Roller with Sparkling wine,"Sparkling wine 0.5 oz
Cachaca 1.5 oz
Lime juice 0.75 oz
Honey syrup 0.5 oz
Angostura bitters 2.0 oz
Mint sprigs 0.5 units",Shake first five ingredients with ice. Strain into chilled cocktail glass. Top with Champagne or sparkling wine. Garnish with mint.
